repo_name,category_x,stars,forks,open_issues,size_kb,primary_language,age_days,created_at,last_updated,description,has_wiki,has_issues,is_fork,license,status,total_satd,todo_count,fixme_count,hack_count,bug_count,design_debt,test_debt,requirement_debt,defect_debt,category_y,avg_complexity,maintainability_index,flake8_violations,total_functions,complex_functions,loc,avg_resolution_days,total_issues,debt_label
WongKinYiu/yolov7,Computer Vision,14094.0,4369.0,1573.0,76024.0,Jupyter Notebook,1419.0,2022-07-06,2026-05-25,Implementation of paper - YOLOv7: Trainable bag-of-freebies sets new state-of-the-art for real-time object detectors,True,True,False,GPL-3.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,4.23,53.63,1129.0,579.0,33.0,11875.0,15.68,100,Medium
huggingface/transformers,NLP,160952.0,33316.0,2386.0,498495.0,Python,2765.0,2018-10-29,2026-05-25,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",True,True,False,Apache-2.0,ok,159.0,43.0,0.0,3.0,4.0,102.0,10.0,43.0,4.0,NLP,2.95,0.0,0.0,68937.0,2568.0,0.0,0.8,100,Low
google-deepmind/graphcast,Deep Learning,6666.0,865.0,75.0,1660.0,Python,1046.0,2023-07-14,2026-05-25,,True,True,False,Apache-2.0,ok,13.0,9.0,0.0,1.0,2.0,2.0,0.0,9.0,2.0,Deep Learning,2.18,67.52,2250.0,406.0,6.0,11274.0,30.48,100,Medium
allenai/open-instruct,NLP,3729.0,544.0,33.0,184844.0,Python,1081.0,2023-06-09,2026-05-22,AllenAI's post-training codebase,True,True,False,Apache-2.0,ok,35.0,15.0,0.0,1.0,0.0,5.0,15.0,15.0,0.0,NLP,3.5,58.11,701.0,2658.0,149.0,71590.0,4.19,100,Low
huggingface/optimum,Deep Learning,3400.0,644.0,276.0,5796.0,Python,1770.0,2021-07-20,2026-05-25,"🚀 Accelerate inference and training of 🤗 Transformers, Diffusers, TIMM and Sentence Transformers with easy to use hardware optimization tools",True,True,False,Apache-2.0,ok,42.0,18.0,1.0,1.0,0.0,13.0,10.0,18.0,1.0,Deep Learning,3.39,71.82,271.0,784.0,37.0,16334.0,27.09,100,Medium
OpenRLHF/OpenRLHF,NLP,9545.0,947.0,334.0,4583.0,Python,1030.0,2023-07-30,2026-05-25,"An Easy-to-use, Scalable and High-performance Agentic RL Framework based on Ray (PPO & DAPO & REINFORCE++ &  VLM & TIS & vLLM & Ray & Async  RL)",True,True,False,Apache-2.0,ok,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,NLP,4.48,64.2,85.0,450.0,43.0,13077.0,11.95,100,Low
meituan/YOLOv6,Computer Vision,5886.0,1061.0,274.0,37809.0,Jupyter Notebook,1447.0,2022-06-08,2026-05-24,YOLOv6: a single-stage object detection framework dedicated to industrial applications.,True,True,False,GPL-3.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,3.61,72.87,2003.0,626.0,28.0,19104.0,33.81,100,Medium
huggingface/tokenizers,Deep Learning,10768.0,1107.0,180.0,17922.0,Rust,2397.0,2019-11-01,2026-05-25,💥 Fast State-of-the-Art Tokenizers optimized for Research and Production,True,True,False,Apache-2.0,ok,6.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,Deep Learning,3.71,67.15,237.0,506.0,16.0,8008.0,13.31,100,Low
CarperAI/trlx,NLP,4749.0,485.0,102.0,47806.0,Python,1330.0,2022-10-03,2026-05-23,A repo for distributed training of language models with Reinforcement Learning via Human Feedback (RLHF),True,True,False,MIT,ok,28.0,11.0,0.0,0.0,2.0,9.0,6.0,11.0,2.0,NLP,3.6,62.47,169.0,710.0,38.0,17332.0,22.38,100,Low
huggingface/hub-docs,Deep Learning,557.0,452.0,164.0,27438.0,Handlebars,1531.0,2022-03-16,2026-05-25,Docs of the Hugging Face Hub,True,True,False,Apache-2.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Learning,4.33,79.81,4.0,6.0,0.0,369.0,2.25,100,Low
facebookresearch/audiocraft,Deep Learning,23311.0,2629.0,385.0,25025.0,Jupyter Notebook,1082.0,2023-06-08,2026-05-25,"Audiocraft is a library for audio processing and generation with deep learning. It features the state-of-the-art EnCodec audio compressor / tokenizer, along with MusicGen, a simple and controllable mu",False,True,False,MIT,ok,40.0,5.0,0.0,0.0,1.0,27.0,7.0,5.0,1.0,Deep Learning,3.33,72.91,74.0,1514.0,57.0,28313.0,26.21,100,Low
facebookresearch/esm,Deep Learning,4087.0,792.0,115.0,12035.0,Python,2093.0,2020-08-31,2026-05-25,Evolutionary Scale Modeling (esm): Pretrained language models for proteins,False,True,False,MIT,ok,18.0,1.0,0.0,0.0,2.0,5.0,10.0,1.0,2.0,Deep Learning,2.71,74.04,724.0,580.0,17.0,11111.0,19.62,100,Low
suno-ai/bark,Deep Learning,39142.0,4684.0,268.0,2641.0,Jupyter Notebook,1144.0,2023-04-07,2026-05-25,🔊 Text-Prompted Generative Audio Model,True,True,False,MIT,ok,18.0,1.0,0.0,1.0,0.0,17.0,0.0,1.0,0.0,Deep Learning,4.12,75.82,81.0,59.0,5.0,1391.0,36.12,100,Low
opencv/opencv-python,Computer Vision,5265.0,1015.0,211.0,2028.0,Python,3699.0,2016-04-08,2026-05-25,"Automated CI toolchain to produce precompiled opencv-python, opencv-python-headless, opencv-contrib-python and opencv-contrib-python-headless packages.",True,True,False,MIT,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,6.57,83.45,29.0,14.0,2.0,704.0,33.09,100,Medium
kornia/kornia,Computer Vision,11212.0,1180.0,66.0,87441.0,Python,2833.0,2018-08-22,2026-05-25,🐍 Geometric Computer Vision Library for Spatial AI,True,True,False,Apache-2.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,2.35,69.21,480.0,8589.0,121.0,168703.0,12.63,100,Low
coqui-ai/TTS,Deep Learning,45402.0,6111.0,6.0,170196.0,Python,2196.0,2020-05-20,2026-05-25,"🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production",True,True,False,MPL-2.0,ok,14.0,12.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,Deep Learning,3.17,70.89,971.0,3321.0,115.0,77995.0,34.21,100,Medium
facebookresearch/jepa,Deep Learning,3860.0,388.0,62.0,50.0,Python,833.0,2024-02-12,2026-05-25,PyTorch code and models for V-JEPA self-supervised learning from video.,False,True,False,NOASSERTION,ok,4.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,Deep Learning,3.51,65.7,14.0,318.0,13.0,7536.0,16.68421052631579,38,Low
scikit-image/scikit-image,Computer Vision,6520.0,2381.0,903.0,83064.0,Python,5436.0,2011-07-07,2026-05-25,Image processing in Python,True,True,False,NOASSERTION,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,2.61,66.93,484.0,3754.0,83.0,122953.0,13.18,100,Low
haotian-liu/LLaVA,Deep Learning,24828.0,2769.0,1142.0,14057.0,Python,1134.0,2023-04-17,2026-05-25,[NeurIPS'23 Oral] Visual Instruction Tuning (LLaVA) built towards GPT-4V level capabilities and beyond.,True,True,False,Apache-2.0,ok,8.0,4.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0,Deep Learning,4.31,58.86,298.0,312.0,27.0,8183.0,15.45,100,Low
google-deepmind/alphageometry,Deep Learning,4846.0,576.0,138.0,203.0,Python,959.0,2023-10-09,2026-05-25,,False,True,False,Apache-2.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Learning,4.12,55.15,3732.0,714.0,56.0,12903.0,66.97777777777777,45,Medium
Zulko/moviepy,Computer Vision,14634.0,2064.0,86.0,169981.0,Python,4669.0,2013-08-12,2026-05-25,Video editing with Python,True,True,False,MIT,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,3.99,79.82,471.0,621.0,41.0,19565.0,22.93,100,Low
IST-DASLab/gptq,NLP,2308.0,197.0,27.0,296.0,Python,1314.0,2022-10-19,2026-05-23,"Code for the ICLR 2023 paper ""GPTQ: Accurate Post-training Quantization of Generative Pretrained Transformers"".",True,True,False,Apache-2.0,ok,28.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,NLP,2.22,55.0,289.0,506.0,15.0,6536.0,65.44736842105263,38,Medium
google-deepmind/alphamissense,Deep Learning,633.0,85.0,1.0,207.0,Python,985.0,2023-09-13,2026-05-18,,False,False,False,Apache-2.0,ok,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,Deep Learning,2.76,71.5,2016.0,360.0,8.0,9020.0,0.0,1,Low
QwenLM/Qwen,Deep Learning,21190.0,1817.0,37.0,37377.0,Python,1026.0,2023-08-03,2026-05-25,The official repo of Qwen (通义千问) chat & pretrained large language model proposed by Alibaba Cloud.,False,True,False,Apache-2.0,ok,7.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,Deep Learning,4.4,55.39,689.0,218.0,22.0,7225.0,32.3,100,Medium
imageio/imageio,Computer Vision,1698.0,348.0,129.0,4030.0,Python,4769.0,2013-05-04,2026-05-21,Python library for reading and writing image data,False,True,False,BSD-2-Clause,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,4.44,57.93,61.0,1329.0,118.0,42130.0,28.29,100,Low
google-deepmind/deepmind-research,Deep Learning,14951.0,2880.0,336.0,94304.0,Jupyter Notebook,2687.0,2019-01-15,2026-05-25,This repository contains implementations and illustrative code to accompany DeepMind publications,True,True,False,Apache-2.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Learning,2.64,69.55,20900.0,4214.0,95.0,94680.0,232.99,100,Medium
meta-llama/llama3,Deep Learning,29283.0,3525.0,217.0,569.0,Python,801.0,2024-03-15,2026-05-25,The official Meta Llama 3 GitHub site,False,True,False,NOASSERTION,ok,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Deep Learning,2.88,80.44,27.0,51.0,2.0,1154.0,32.18,100,Low
openai/point-e,Deep Learning,6887.0,800.0,80.0,1601.0,Python,1266.0,2022-12-06,2026-05-25,Point cloud diffusion for 3D model synthesis,True,True,False,MIT,ok,9.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,Deep Learning,3.06,69.23,19.0,286.0,9.0,5141.0,18.64516129032258,31,Low
JDAI-CV/fast-reid,Computer Vision,3931.0,879.0,18.0,14083.0,Python,2910.0,2018-06-06,2026-05-25,SOTA Re-identification Methods and Toolbox,True,True,False,Apache-2.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,2.82,74.45,1338.0,1434.0,25.0,37741.0,37.17,100,Medium
continuedev/continue,NLP,33377.0,4557.0,807.0,871476.0,TypeScript,1097.0,2023-05-24,2026-05-25,"⏩ Source-controlled AI checks, enforceable in CI. Powered by the open-source Continue CLI",False,True,False,Apache-2.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLP,2.21,81.64,454.0,330.0,8.0,6799.0,4.08,100,Low
BlinkDL/RWKV-LM,Deep Learning,14538.0,1010.0,149.0,30916.0,Python,1751.0,2021-08-08,2026-05-25,"RWKV (pronounced RwaKuv) is an RNN with great LLM performance, which can also be directly trained like a GPT transformer (parallelizable). We are at RWKV-7 ""Goose"". So it's combining the best of RNN a",True,True,False,Apache-2.0,ok,58.0,30.0,0.0,0.0,1.0,27.0,0.0,30.0,1.0,Deep Learning,3.76,47.23,5655.0,970.0,73.0,20338.0,18.89,100,Medium
openai/shap-e,Deep Learning,12244.0,1072.0,109.0,11987.0,Python,1132.0,2023-04-19,2026-05-25,Generate 3D objects conditioned on text or images,True,True,False,MIT,ok,14.0,3.0,0.0,0.0,2.0,9.0,0.0,3.0,2.0,Deep Learning,2.95,65.15,56.0,656.0,12.0,13357.0,12.52,50,Low
nomic-ai/nomic,NLP,1876.0,197.0,50.0,25303.0,Python,1404.0,2022-07-21,2026-05-20,Nomic Developer API SDK,True,True,False,None,ok,7.0,6.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,NLP,4.0,71.97,201.0,277.0,22.0,6811.0,10.18,100,Low
facebookresearch/ConvNeXt-V2,Computer Vision,2034.0,170.0,62.0,813.0,Python,1243.0,2022-12-29,2026-05-23,Code release for ConvNeXt V2 model,False,True,False,NOASSERTION,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,3.58,52.94,213.0,142.0,9.0,2652.0,48.12,25,Medium
mlfoundations/open_flamingo,Deep Learning,4102.0,318.0,51.0,7719.0,Python,1313.0,2022-10-20,2026-05-22,An open-source framework for training large multimodal models.,True,True,False,MIT,ok,9.0,1.0,2.0,1.0,0.0,6.0,0.0,1.0,2.0,Deep Learning,4.91,66.14,105.0,222.0,20.0,9115.0,15.4,100,Low
salesforce/BLIP,Deep Learning,5705.0,763.0,135.0,7337.0,Jupyter Notebook,1581.0,2022-01-25,2026-05-25,PyTorch code for BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation  ,False,True,False,BSD-3-Clause,ok,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,Deep Learning,2.97,55.33,2435.0,319.0,12.0,6366.0,49.87,100,Medium
facebookresearch/fairscale,Deep Learning,3405.0,297.0,108.0,4685.0,Python,2148.0,2020-07-07,2026-05-25,PyTorch extensions for high performance and large scale training.,False,True,False,NOASSERTION,ok,34.0,28.0,1.0,0.0,3.0,1.0,1.0,28.0,4.0,Deep Learning,3.22,70.28,287.0,2340.0,87.0,47418.0,19.23,100,Medium
facebookresearch/moco,Computer Vision,5138.0,805.0,62.0,42.0,0,2260.0,2020-03-17,2026-05-22,PyTorch implementation of MoCo: https://arxiv.org/abs/1911.05722,False,True,False,None,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,0.0,0.0,0.0,0.0,0.0,0.0,17.511363636363637,88,Low
LAION-AI/Open-Assistant,Deep Learning,37414.0,3295.0,297.0,35477.0,Python,1259.0,2022-12-13,2026-05-25,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",False,True,False,Apache-2.0,ok,10.0,6.0,0.0,1.0,0.0,2.0,2.0,6.0,0.0,Deep Learning,3.0,72.62,440.0,2072.0,84.0,46946.0,15.66,100,Low
mistralai/mistral-common,NLP,895.0,145.0,8.0,8640.0,Python,770.0,2024-04-15,2026-05-25,Official inference library for pre-processing of Mistral models,True,True,False,Apache-2.0,ok,20.0,1.0,0.0,0.0,0.0,10.0,9.0,1.0,0.0,NLP,2.85,66.19,47.0,1024.0,32.0,19957.0,2.79,100,Low
NVIDIA/apex,Deep Learning,8968.0,1517.0,763.0,16558.0,Python,2954.0,2018-04-23,2026-05-24,A PyTorch Extension:  Tools for easy mixed precision and distributed training in Pytorch,True,True,False,BSD-3-Clause,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Learning,4.24,66.81,674.0,1166.0,102.0,36797.0,15.77,100,Low
Vision-CAIR/MiniGPT-4,Deep Learning,25709.0,2900.0,376.0,66584.0,Python,1136.0,2023-04-15,2026-05-25,"Open-sourced codes for MiniGPT-4 and MiniGPT-v2 (https://minigpt-4.github.io, https://minigpt-v2.github.io/)",True,True,False,BSD-3-Clause,ok,18.0,12.0,1.0,1.0,0.0,5.0,0.0,12.0,1.0,Deep Learning,2.65,68.54,911.0,705.0,23.0,12166.0,35.57,100,Medium
facebookresearch/swav,Computer Vision,2092.0,285.0,41.0,65.0,Python,2139.0,2020-07-16,2026-05-24,PyTorch implementation of SwAV https//arxiv.org/abs/2006.09882,False,True,False,NOASSERTION,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,4.12,60.12,42.0,66.0,6.0,2368.0,20.2875,80,Low
mlfoundations/open_clip,Deep Learning,13855.0,1283.0,38.0,16184.0,Python,1762.0,2021-07-28,2026-05-25,An open source implementation of CLIP.,True,True,False,NOASSERTION,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Learning,4.01,52.07,639.0,1045.0,58.0,23206.0,18.12,100,Low
google-research/text-to-text-transfer-transformer,NLP,6520.0,793.0,106.0,5624.0,Python,2412.0,2019-10-17,2026-05-24,"Code for the paper ""Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer""",False,True,False,Apache-2.0,ok,16.0,15.0,0.0,1.0,0.0,1.0,0.0,15.0,0.0,NLP,2.53,75.1,2017.0,398.0,14.0,13421.0,28.96,100,Medium
yoheinakajima/babyagi,NLP,22276.0,2856.0,27.0,2297.0,Python,1148.0,2023-04-03,2026-05-25,,False,True,False,None,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLP,3.14,76.22,704.0,221.0,11.0,6143.0,287.38,100,Medium
NVIDIA/DeepLearningExamples,Computer Vision,14813.0,3411.0,323.0,108726.0,Jupyter Notebook,2945.0,2018-05-02,2026-05-25,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and performance on enterprise-grade infrastructure.,True,True,False,None,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,3.07,0.0,0.0,19799.0,706.0,0.0,80.41,100,Low
salesforce/LAVIS,Deep Learning,11223.0,1104.0,499.0,83199.0,Jupyter Notebook,1370.0,2022-08-24,2026-05-25,LAVIS - A One-stop Library for Language-Vision Intelligence,False,True,False,BSD-3-Clause,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Learning,3.29,72.91,3530.0,4539.0,183.0,99887.0,38.41,100,Medium
NVIDIA/TensorRT,Computer Vision,13015.0,2364.0,600.0,143362.0,C++,2580.0,2019-05-02,2026-05-25,NVIDIA® TensorRT™ is an SDK for high-performance deep learning inference on NVIDIA GPUs. This repository contains the open source components of TensorRT.,False,True,False,Apache-2.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,3.04,74.78,4822.0,5895.0,202.0,135372.0,20.74,100,Medium
lucidrains/x-transformers,Deep Learning,5863.0,509.0,74.0,40084.0,Python,2039.0,2020-10-24,2026-05-24,A concise but complete full-attention transformer with a set of promising experimental features from various papers,True,True,False,MIT,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Learning,4.12,50.84,5916.0,535.0,33.0,13114.0,16.47,100,Medium
karpathy/minGPT,Deep Learning,24442.0,3255.0,82.0,1485.0,Python,2107.0,2020-08-17,2026-05-25,A minimal PyTorch re-implementation of the OpenAI GPT (Generative Pretrained Transformer) training,True,True,False,MIT,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Learning,3.09,73.3,156.0,67.0,2.0,1250.0,109.69014084507042,71,Low
bigcode-project/bigcode-dataset,NLP,492.0,82.0,17.0,3985.0,Jupyter Notebook,1302.0,2022-10-31,2026-05-25,,True,True,False,Apache-2.0,ok,17.0,8.0,0.0,0.0,0.0,3.0,6.0,8.0,0.0,NLP,3.94,65.77,319.0,238.0,16.0,7173.0,67.16981132075472,53,Medium
microsoft/onnxruntime,Computer Vision,20626.0,3939.0,1400.0,1512194.0,C++,2753.0,2018-11-10,2026-05-25,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",True,True,False,MIT,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,3.83,0.0,0.0,9871.0,725.0,0.0,2.7,100,Low
onnx/onnx,Computer Vision,20885.0,3931.0,267.0,70461.0,Python,3182.0,2017-09-07,2026-05-25,Open standard for machine learning interoperability,True,True,False,Apache-2.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,2.45,0.0,0.0,3997.0,145.0,0.0,0.86,100,Low
PKU-YuanGroup/Video-LLaVA,Deep Learning,3488.0,250.0,126.0,117982.0,Python,945.0,2023-10-23,2026-05-21,【EMNLP 2024🔥】Video-LLaVA: Learning United Visual Representation by Alignment Before Projection,False,True,False,Apache-2.0,ok,11.0,6.0,0.0,0.0,0.0,4.0,1.0,6.0,0.0,Deep Learning,4.43,58.7,1361.0,755.0,66.0,21231.0,4.0625,96,Low
google/trax,Deep Learning,8305.0,823.0,125.0,169367.0,Python,2424.0,2019-10-05,2026-05-25,Trax — Deep Learning with Clear Code and Speed,True,True,False,Apache-2.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Learning,2.29,65.66,14877.0,3385.0,62.0,69534.0,11.51,100,Medium
bigcode-project/bigcode-evaluation-harness,NLP,1046.0,263.0,95.0,893.0,Python,1385.0,2022-08-09,2026-05-22,A framework for the evaluation of autoregressive code generation language models.,True,True,False,Apache-2.0,ok,34.0,23.0,0.0,0.0,7.0,4.0,0.0,23.0,7.0,NLP,3.08,70.99,307.0,451.0,18.0,9457.0,44.78,100,Medium
apache/tvm,Computer Vision,13387.0,3881.0,206.0,131835.0,Python,3512.0,2016-10-12,2026-05-25,Open Machine Learning Compiler Framework,False,True,False,Apache-2.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,2.61,65.26,0.0,18596.0,560.0,0.0,1.5,100,Low
X-PLUG/mPLUG-Owl,Deep Learning,2541.0,190.0,100.0,35176.0,Python,1126.0,2023-04-25,2026-05-19,mPLUG-Owl: The Powerful Multi-modal Large Language Model  Family,False,True,False,MIT,ok,12.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,Deep Learning,3.8,56.13,1756.0,1069.0,68.0,23430.0,11.21,100,Medium
openai/gpt-2,Deep Learning,24879.0,5882.0,197.0,4486.0,Python,2660.0,2019-02-11,2026-05-25,"Code for the paper ""Language Models are Unsupervised Multitask Learners""",False,True,False,NOASSERTION,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Learning,2.93,64.05,43.0,29.0,1.0,586.0,104.69,100,Low
salesforce/CodeT5,NLP,3103.0,490.0,87.0,11174.0,Python,1743.0,2021-08-16,2026-05-24,Home of CodeT5: Open Code LLMs for Code Understanding and Generation,False,True,False,BSD-3-Clause,ok,156.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,NLP,7.03,54.9,2008.0,194.0,27.0,7192.0,25.69,100,High
InternLM/InternLM,Deep Learning,7210.0,506.0,8.0,7453.0,Python,1054.0,2023-07-06,2026-05-25,"Official release of InternLM series (InternLM, InternLM2, InternLM2.5, InternLM3).",False,True,False,Apache-2.0,ok,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,Deep Learning,4.94,39.68,0.0,82.0,9.0,2638.0,9.18,100,Low
openvinotoolkit/openvino,Computer Vision,10277.0,3226.0,758.0,935741.0,C++,2779.0,2018-10-15,2026-05-25,OpenVINO™ is an open source toolkit for optimizing and deploying AI inference,True,True,False,Apache-2.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,2.8,73.2,9772.0,9985.0,250.0,22709.0,1.91,100,Low
facebookresearch/metaseq,Deep Learning,6549.0,718.0,154.0,26972.0,Python,1484.0,2022-05-02,2026-05-21,Repo for external large-scale work,True,True,False,MIT,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Learning,3.04,67.13,123.0,2097.0,86.0,40428.0,5.19,100,Low
