repo_name,category,stars,forks,open_issues,contributors,total_commits,primary_language,size_kb,age_days,created_at,last_updated,description,has_wiki,has_issues,license
clearml/clearml,MLOps,6659,774,561,110,2727,Python,56348,2522,2019-06-10,2026-05-06,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline, Orchestration, Scheduling & Serving in one MLOps/LLMOps solution",True,True,Apache License 2.0
zenml-io/zenml,MLOps,5404,612,154,123,8650,Python,843859,1994,2020-11-19,2026-05-06,ZenML 🙏: One AI Platform from Pipelines to Agents. https://zenml.io.,False,True,Apache License 2.0
feast-dev/feast,MLOps,7007,1315,343,342,4505,Python,255232,2704,2018-12-10,2026-05-06,The Open Source Feature Store for AI/ML,False,True,Apache License 2.0
Netflix/metaflow,MLOps,10077,1268,466,133,1591,Python,48547,2423,2019-09-17,2026-05-06,"Build, Manage and Deploy AI/ML Systems",False,True,Apache License 2.0
apache/airflow,MLOps,45304,17008,1704,416,38048,Python,590139,4041,2015-04-13,2026-05-06,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",False,True,Apache License 2.0
ray-project/ray,MLOps,42439,7530,3547,407,30257,Python,732375,3480,2016-10-25,2026-05-06,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,False,True,Apache License 2.0
kubeflow/pipelines,MLOps,4135,1988,488,409,6992,Python,361933,2916,2018-05-12,2026-05-06,Machine Learning Pipelines for Kubeflow,True,True,Apache License 2.0
tensorflow/serving,MLOps,6350,2199,116,209,9194,C++,20184,3753,2016-01-26,2026-05-05,"A flexible, high-performance serving system for machine learning models",False,True,Apache License 2.0
evidentlyai/evidently,MLOps,7456,837,265,89,2795,Jupyter Notebook,561021,1988,2020-11-25,2026-05-06,"Evidently is ​​an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI-powered system or data pipeline. From tabular data to Gen AI. 100+ metrics.",True,True,Apache License 2.0
whylabs/whylogs,MLOps,2816,140,3,23,936,Jupyter Notebook,189731,2090,2020-08-14,2026-05-01,"An open-source data logging library for machine learning models and data pipelines. 📚 Provides visibility into data quality & model performance over time. 🛡️ Supports privacy-preserving data collection, ensuring safety & robustness. 📈",True,True,Apache License 2.0
kedro-org/kedro,MLOps,10863,1033,186,255,4287,Python,247165,2575,2019-04-18,2026-05-06,"Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.",True,True,Apache License 2.0
great-expectations/great_expectations,MLOps,11461,1744,41,402,13637,Python,250180,3159,2017-09-11,2026-05-06,Always know what to expect from your data.,True,True,Apache License 2.0
SeldonIO/seldon-core,MLOps,4747,865,392,40,1278,Go,251865,3059,2017-12-20,2026-05-04,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models",True,True,Other
Netflix/metaflow,MLOps,10077,1268,466,133,1591,Python,48547,2423,2019-09-17,2026-05-06,"Build, Manage and Deploy AI/ML Systems",False,True,Apache License 2.0
apache/flink,MLOps,25982,13928,359,283,37842,Java,546493,4351,2014-06-07,2026-05-06,Apache Flink,False,False,Apache License 2.0
openai/baselines,AutoML/RL,16705,4944,502,102,347,Python,6620,3269,2017-05-24,2026-05-06,OpenAI Baselines: high-quality implementations of reinforcement learning algorithms,True,True,MIT License
DLR-RM/stable-baselines3,AutoML/RL,13212,2119,80,161,928,Python,5271,2192,2020-05-05,2026-05-06,"PyTorch version of Stable Baselines, reliable implementations of reinforcement learning algorithms. ",True,True,MIT License
keras-team/keras-tuner,AutoML/RL,2923,402,237,57,1088,Python,2026,2525,2019-06-06,2026-05-04,A Hyperparameter Tuning Library for Keras,True,True,Apache License 2.0
automl/SMAC3,AutoML/RL,1222,241,125,53,2831,Python,162818,3549,2016-08-17,2026-04-30,SMAC3: A Versatile Bayesian Optimization Package for Hyperparameter Optimization,False,True,Other
facebookresearch/nevergrad,AutoML/RL,4184,367,137,55,1149,Python,114891,2723,2018-11-21,2026-04-30,A Python toolbox for performing gradient-free optimization,False,True,MIT License
pytorch/rl,AutoML/RL,3420,451,275,199,2468,Python,389007,1555,2022-02-01,2026-05-06,"A modular, primitive-first, python-first PyTorch library for Reinforcement Learning.",False,True,MIT License
thu-ml/tianshou,AutoML/RL,10638,1301,138,78,1316,Python,50457,2941,2018-04-16,2026-05-06,An elegant PyTorch deep reinforcement learning library.,True,True,MIT License
google-deepmind/acme,AutoML/RL,3981,535,97,72,1224,Python,6649,2196,2020-05-01,2026-05-04,A library of reinforcement learning components and agents,True,True,Apache License 2.0
tensorflow/agents,AutoML/RL,3009,748,211,134,2322,Python,13598,2727,2018-11-17,2026-05-04,"TF-Agents: A reliable, scalable and easy to use TensorFlow library for Contextual Bandits and Reinforcement Learning.",True,True,Apache License 2.0
mljar/mljar-supervised,AutoML/RL,3256,434,150,26,1251,Python,9840,2739,2018-11-05,2026-05-04,"Python package for AutoML on Tabular Data with Feature Engineering, Hyper-Parameters Tuning, Explanations and Automatic Documentation",True,True,MIT License
pycaret/pycaret,AutoML/RL,9771,1859,7,122,5485,Python,267707,2356,2019-11-23,2026-05-06,"Open-source, low-code AutoML platform for Python. PyCaret 4.0: sklearn-native engine + React control plane.",True,True,Other
hill-a/stable-baselines,AutoML/RL,4323,726,138,101,839,Python,10365,2865,2018-07-02,2026-05-02,"A fork of OpenAI Baselines, implementations of reinforcement learning algorithms",True,True,MIT License
google/vizier,AutoML/RL,1642,110,48,24,1230,Python,5052,1540,2022-02-16,2026-05-05,"Python-based research interface for blackbox and hyperparameter optimization, based on the internal Google Vizier Service.",True,True,Apache License 2.0
optuna/optuna-dashboard,AutoML/RL,771,117,25,41,3794,TypeScript,21246,2020,2020-10-24,2026-04-29,Real-time Web Dashboard for Optuna.,False,True,Other
autonomio/talos,AutoML/RL,1638,267,13,16,671,Python,3214,2924,2018-05-04,2026-04-23,Hyperparameter Experiments with TensorFlow and Keras,True,True,MIT License
